date,p,variant
2023-08-28,0.001025378108177405,oba
2023-08-28,0.0007690335811330355,obq1
2023-08-28,0.744168162009741,oxbb
2023-08-28,0.004870546013842514,och11
2023-08-28,0.23609330940784423,oeg51
2023-08-28,0.005895924122020002,ohk3
2023-08-28,0.007177646757241751,other
2023-09-11,0.0015380671622661074,oba
2023-09-11,0.000512689054088666,obq1
2023-09-11,0.6885413996411176,oxbb
2023-09-11,0.004614201486798253,och11
2023-09-11,0.2868495257626249,oeg51
2023-09-11,0.010253781081773883,ohk3
2023-09-11,0.007690335811330606,other
2023-09-25,0.002307100743399143,oba
2023-09-25,0.6149705203793899,oxbb
2023-09-25,0.006152268649064263,och11
2023-09-25,0.34401435529351443,oeg51
2023-09-25,0.02102025121763651,ohk3
2023-09-25,0.011535503716995743,other
2023-10-09,0.003588823378620881,oba
2023-10-09,0.5567803127403229,oxbb
2023-10-09,0.007177646757241751,och11
2023-10-09,0.3799025890797231,oeg51
2023-10-09,0.03511920020507575,ohk3
2023-10-09,0.0010253781081772662,ojn
2023-10-09,0.016406049730838368,other
2023-10-23,0.006152268649064357,oba
2023-10-23,0.000256344527044333,obq1
2023-10-23,0.48705460138426043,oxbb
2023-10-23,0.006152268649064263,och11
2023-10-23,0.42732632658292735,oeg51
2023-10-23,0.05408869520635751,ohk3
2023-10-23,0.0038451679056651367,ojn
2023-10-23,0.015124327095616619,other
2023-11-06,0.013329915406306082,oba
2023-11-06,0.43142783901563697,oxbb
2023-11-06,0.004357856959753881,och11
2023-11-06,0.4491156113816969,oeg51
2023-11-06,0.06716226608561904,ohk3
2023-11-06,0.017431427839015745,ojn
2023-11-06,0.017175083311971373,other
2023-11-20,0.015893360676749558,oba
2023-11-20,0.3596513714432196,oxbb
2023-11-20,0.002307100743399071,och11
2023-11-20,0.46347090489618054,oeg51
2023-11-20,0.09125865162778779,ohk3
2023-11-20,0.05331966162522417,ojn
2023-11-20,0.014098948987439242,other
2023-12-04,0.021276595744680844,oba
2023-12-04,0.29120738272237884,oxbb
2023-12-04,0.00205075621635481,och11
2023-12-04,0.4511663675980518,oeg51
2023-12-04,0.08049218149192505,ohk3
2023-12-04,0.1366316329146373,ojn
2023-12-04,0.017175083311971373,other
2023-12-18,0.021789284798769546,oba
2023-12-18,0.21020251217636507,oxbb
2023-12-18,0.002307100743399071,och11
2023-12-18,0.34606511150986924,oeg51
2023-12-18,0.07023840041015128,ohk3
2023-12-18,0.3332478851576519,ojn
