,other
2023-03-17,0.003129
2023-03-18,0.003034
2023-03-19,0.002929
2023-03-20,0.00282
2023-03-21,0.002711
2023-03-22,0.002606
2023-03-23,0.00251
2023-03-24,0.002428
2023-03-25,0.002364
2023-03-26,0.002322
2023-03-27,0.002307
2023-03-28,0.002309
2023-03-29,0.002314
2023-03-30,0.002322
2023-03-31,0.002333
2023-04-01,0.002347
2023-04-02,0.002363
2023-04-03,0.002382
2023-04-04,0.002403
2023-04-05,0.002426
2023-04-06,0.00245
2023-04-07,0.002477
2023-04-08,0.002504
2023-04-09,0.002533
2023-04-10,0.002563
2023-04-11,0.002608
2023-04-12,0.002679
2023-04-13,0.002771
2023-04-14,0.00288
2023-04-15,0.003
2023-04-16,0.003128
2023-04-17,0.003258
2023-04-18,0.003386
2023-04-19,0.003507
2023-04-20,0.003616
2023-04-21,0.003709
2023-04-22,0.003782
2023-04-23,0.003829
2023-04-24,0.003845
2023-04-25,0.003823
2023-04-26,0.00376
2023-04-27,0.003664
2023-04-28,0.00354
2023-04-29,0.003397
2023-04-30,0.00324
2023-05-01,0.003076
2023-05-02,0.002912
2023-05-03,0.002756
2023-05-04,0.002612
2023-05-05,0.002489
2023-05-06,0.002392
2023-05-07,0.00233
2023-05-08,0.002307
2023-05-09,0.002322
2023-05-10,0.002365
2023-05-11,0.002433
2023-05-12,0.002522
2023-05-13,0.002629
2023-05-14,0.002751
2023-05-15,0.002884
2023-05-16,0.003025
2023-05-17,0.00317
2023-05-18,0.003316
2023-05-19,0.00346
2023-05-20,0.003599
2023-05-21,0.003728
2023-05-22,0.003845
2023-05-23,0.00396
2023-05-24,0.004084
2023-05-25,0.004214
2023-05-26,0.004349
2023-05-27,0.004485
2023-05-28,0.00462
2023-05-29,0.004752
2023-05-30,0.004878
2023-05-31,0.004996
2023-06-01,0.005104
2023-06-02,0.005199
2023-06-03,0.005279
2023-06-04,0.005341
2023-06-05,0.005383
2023-06-06,0.005414
2023-06-07,0.005444
2023-06-08,0.005472
2023-06-09,0.005498
2023-06-10,0.005523
2023-06-11,0.005546
2023-06-12,0.005566
2023-06-13,0.005585
2023-06-14,0.005601
2023-06-15,0.005614
2023-06-16,0.005625
2023-06-17,0.005633
2023-06-18,0.005638
2023-06-19,0.00564
2023-06-20,0.005628
2023-06-21,0.005597
2023-06-22,0.005549
2023-06-23,0.005487
2023-06-24,0.005415
2023-06-25,0.005337
2023-06-26,0.005255
2023-06-27,0.005173
2023-06-28,0.005095
2023-06-29,0.005023
2023-06-30,0.004961
2023-07-01,0.004913
2023-07-02,0.004882
2023-07-03,0.004871
2023-07-04,0.004881
2023-07-05,0.004911
2023-07-06,0.004958
2023-07-07,0.005022
2023-07-08,0.0051
2023-07-09,0.00519
2023-07-10,0.005291
2023-07-11,0.005401
2023-07-12,0.005518
2023-07-13,0.005641
2023-07-14,0.005768
2023-07-15,0.005896
2023-07-16,0.006025
2023-07-17,0.006152
2023-07-18,0.006296
2023-07-19,0.006472
2023-07-20,0.006675
2023-07-21,0.006898
2023-07-22,0.007135
2023-07-23,0.007382
2023-07-24,0.007631
2023-07-25,0.007878
2023-07-26,0.008116
2023-07-27,0.00834
2023-07-28,0.008543
2023-07-29,0.00872
2023-07-30,0.008865
2023-07-31,0.008972
